날짜,시간,상품명,방송일시,노출(분)
2020-01-07,13:20,델키생선구이오븐,2020-01-07 13:20:00,60.0
2020-01-07,14:20,배윤자소곱창전골,2020-01-07 14:20:00,60.0
2020-01-07,15:20,어성초샴푸,2020-01-07 15:20:00,60.0
2020-01-07,16:20,티포트,2020-01-07 16:20:00,60.0
2020-01-07,17:20,궁중손질새우,2020-01-07 17:20:00,60.0
2020-01-07,18:20,현대정수기,2020-01-07 18:20:00,60.0
2020-01-07,19:20,손질통오징어,2020-01-07 19:20:00,60.0
2020-01-07,20:20,쿠첸전기밥솥,2020-01-07 20:20:00,60.0
2020-01-07,21:20,비버리힐스폴로 남성기초세트,2020-01-07 21:20:00,60.0
2020-01-07,22:20,푸마드로즈,2020-01-07 22:20:00,60.0
2020-01-07,23:20,넥센타이어,2020-01-07 23:20:00,60.0
2020-01-08,00:20,교원리빙,2020-01-08 00:20:00,60.0
2020-01-08,01:20,헤스티지 패션,2020-01-08 01:20:00,40.0
2020-01-08,02:00,헤스티지 패션,2020-01-08 02:00:00,20.0
2020-01-08,02:20,송도순홈쿠,2020-01-08 02:20:00,60.0
2020-01-08,03:20,보험,2020-01-08 03:20:00,60.0
2020-01-08,04:20,레노마장갑,2020-01-08 04:20:00,60.0
2020-01-08,05:20,액티브코큐텐,2020-01-08 05:20:00,60.0
2020-01-08,06:20,마르시끄속눈썹드라이기,2020-01-08 06:20:00,60.0
2020-01-08,07:20,IH가마솥,2020-01-08 07:20:00,60.0
2020-01-08,08:20,헤스티지패션,2020-01-08 08:20:00,60.0
2020-01-08,09:20,참존,2020-01-08 09:20:00,60.0
2020-01-08,10:20,LA갈비,2020-01-08 10:20:00,60.0
2020-01-08,11:20,쿠쿠 압력밥솥,2020-01-08 11:20:00,60.0
2020-01-08,12:20,암블로슈즈,2020-01-08 12:20:00,60.0
2020-01-08,13:20,레이프릴속옷,2020-01-08 13:20:00,60.0
2020-01-08,14:20,석류즙,2020-01-08 14:20:00,60.0
2020-01-08,15:20,매직쉐프믹서기,2020-01-08 15:20:00,60.0
2020-01-08,16:20,램프쿡,2020-01-08 16:20:00,60.0
2020-01-08,17:20,헤스티지 재킷,2020-01-08 17:20:00,60.0
2020-01-08,18:20,손질문어,2020-01-08 18:20:00,60.0
2020-01-08,19:20,에지리프라이팬,2020-01-08 19:20:00,60.0
2020-01-08,20:20,노비타비데,2020-01-08 20:20:00,60.0
2020-01-08,21:20,LG통돌이세탁기,2020-01-08 21:20:00,60.0
2020-01-08,22:20,손질갑오징어,2020-01-08 22:20:00,60.0
2020-01-08,23:20,팔로모매트리스,2020-01-08 23:20:00,60.0
2020-01-09,00:20,슬리미,2020-01-09 00:20:00,60.0
2020-01-09,01:20,헤스티지 패션,2020-01-09 01:20:00,40.0
2020-01-09,02:00,슬리미,2020-01-09 02:00:00,20.0
2020-01-09,02:20,뉴트리원다이어트구미,2020-01-09 02:20:00,60.0
2020-01-09,03:20,뱅네프비누,2020-01-09 03:20:00,60.0
2020-01-09,04:20,캐리어공기청정기,2020-01-09 04:20:00,60.0
2020-01-09,05:20,몬테밀라노 레깅스,2020-01-09 05:20:00,60.0
2020-01-09,06:20,바로바로무선청소기,2020-01-09 06:20:00,60.0
2020-01-09,07:20,컨시크립스틱,2020-01-09 07:20:00,60.0
2020-01-09,08:20,아르테사노,2020-01-09 08:20:00,60.0
2020-01-09,09:20,스튜디오럭스,2020-01-09 09:20:00,60.0
2020-01-09,10:20,궁중손질새우,2020-01-09 10:20:00,60.0
2020-01-09,11:20,도가니탕,2020-01-09 11:20:00,60.0
2020-01-09,12:20,반찬명가녹선,2020-01-09 12:20:00,60.0
2020-01-09,13:20,브루마스,2020-01-09 13:20:00,60.0
2020-01-09,14:20,프리지아헤어컬러,2020-01-09 14:20:00,60.0
2020-01-09,15:20,로벤탈,2020-01-09 15:20:00,60.0
2020-01-09,16:20,마르엘라로사티,2020-01-09 16:20:00,60.0
2020-01-09,17:20,삼성암보험,2020-01-09 17:20:00,60.0
2020-01-09,18:20,유귀열민어,2020-01-09 18:20:00,60.0
2020-01-09,19:20,보닌남성기초,2020-01-09 19:20:00,60.0
2020-01-09,20:20,넥센타이어,2020-01-09 20:20:00,60.0
2020-01-09,21:20,LG냉장고,2020-01-09 21:20:00,60.0
2020-01-09,22:20,손질문어,2020-01-09 22:20:00,60.0
2020-01-09,23:20,현대정수기,2020-01-09 23:20:00,60.0
2020-01-10,00:20,브루마스,2020-01-10 00:20:00,60.0
2020-01-10,01:20,라쉬반,2020-01-10 01:20:00,40.0
2020-01-10,02:00,라쉬반,2020-01-10 02:00:00,20.0
2020-01-10,02:20,보험,2020-01-10 02:20:00,60.0
2020-01-10,03:20,푸마 치마 레깅스,2020-01-10 03:20:00,60.0
2020-01-10,04:20,프리지아헤어컬러,2020-01-10 04:20:00,60.0
2020-01-10,05:20,닥터슈퍼루테인,2020-01-10 05:20:00,60.0
2020-01-10,06:20,레이프릴속옷,2020-01-10 06:20:00,60.0
2020-01-10,07:20,한일믹서기,2020-01-10 07:20:00,60.0
2020-01-10,08:20,발열장갑,2020-01-10 08:20:00,60.0
2020-01-10,09:20,명품잡화,2020-01-10 09:20:00,60.0
2020-01-10,10:20,마르엘라로사티,2020-01-10 10:20:00,60.0
2020-01-10,11:20,로벤탈,2020-01-10 11:20:00,60.0
2020-01-10,12:20,현대해상운전자보험,2020-01-10 12:20:00,60.0
2020-01-10,13:20,아르테사노,2020-01-10 13:20:00,60.0
2020-01-10,14:20,암블로슈즈,2020-01-10 14:20:00,60.0
2020-01-10,15:20,IH가마솥,2020-01-10 15:20:00,60.0
2020-01-10,16:20,오세득갈비탕,2020-01-10 16:20:00,60.0
2020-01-10,17:20,델키생선구이오븐,2020-01-10 17:20:00,60.0
